Year (year),Name of the state (state_name),Name of the district (district_name),Name of the block (block_name),Name of the Gram Panchayat (gp_name),Number of registered households (reg_hh),Number of registered persons (reg_pers),Number of deleted job cards for households (del_jobcards_hh),Number of deleted job cards for persons (del_jobcards_pers),Number of included job cards for households (incl_jobcards_hh),Number of included job cards for persons (incl_jobcards_pers),Cumulative job cards issued for Scheduled Castes for households (cumul_hh_jobcards_sc),Cumulative job cards issued for Scheduled Tribes for households (cumul_hh_jobcards_sts),Cumulative job cards issued for other categories for households (cumul_hh_jobcards_others),Total cumulative job cards issued for all categories for households (cumul_hh_jobcards_tot),Number of households demanding employment (emp_demand_hh),Number of persons demanding employment (emp_demand_pers),Number of households offered employment (emp_offer_hh),Number of persons offered employment (emp_offer_pers),Number of households availing employment (emp_avail_hh),Number of persons availing employment (emp_avail_pers),Total person-days of employment availed (emp_avail_tot_persondays),Person-days of employment availed under central liability (emp_avail_central_persondays),Person-days of employment availed under state's liability (emp_avail_states_persondays),Number of households completing 100 days of employment (fam_completed_100_days),Number of households benefiting from land reform or IAY schemes (land_reform_benef_hh),Number of disabled individuals benefiting from the scheme (disabled_benef_indiv)
"2014-2015","Uttar Pradesh","Hardoi","Behadar","Behandar Khurd","756.0","820.0","0.0","0.0","35.0","37.0","360.0","1.0","390.0","751.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2020-2021","Uttar Pradesh","Jaunpur","Barasathi","Sahadatpur","455.0","562.0","0.0","0.0","146.0","151.0","291.0","0.0","125.0","416.0","185.0","199.0","184.0","198.0","151.0","160.0","9216.0","9216.0","0.0","53.0","0.0","0.0"
"2020-2021","Uttar Pradesh","Deoria","Bhagalpur","Pipara Ramdhar","347.0","435.0","0.0","0.0","78.0","85.0","57.0","12.0","276.0","345.0","291.0","311.0","291.0","311.0","161.0","176.0","4074.0","4074.0","0.0","0.0","0.0","0.0"
"2016-2017","Uttar Pradesh","Unnao","Fatehpur Chaurasi","Majhariya Kala","230.0","362.0","177.0","193.0","9.0","15.0","45.0","0.0","185.0","230.0","115.0","184.0","115.0","184.0","79.0","125.0","2721.0","2721.0","0.0","0.0","4.0","0.0"
"2019-2020","Uttar Pradesh","Jaunpur","Shah Ganj","Bargav","177.0","186.0","0.0","0.0","51.0","51.0","82.0","0.0","93.0","175.0","41.0","42.0","38.0","38.0","32.0","32.0","1199.0","1199.0","0.0","0.0","0.0","0.0"
"2020-2021","Tamil Nadu","Thanjavur","Ammapet","Vadakku Mangudi","319.0","498.0","12.0","51.0","20.0","39.0","144.0","0.0","138.0","282.0","140.0","161.0","140.0","161.0","137.0","157.0","9539.0","9539.0","0.0","4.0","0.0","0.0"
"2022-2023","Madhya Pradesh","Narsinghpur","Babai Chichli","Ratikarar","334.0","545.0","0.0","1.0","15.0","38.0","51.0","53.0","174.0","278.0","163.0","212.0","163.0","212.0","159.0","196.0","7474.0","7474.0","0.0","0.0","0.0","1.0"
"2014-2015","Rajasthan","Udaipur","Lasadia","Dhaavdai","1314.0","2796.0","0.0","92.0","166.0","294.0","10.0","697.0","601.0","1308.0","930.0","1637.0","930.0","1637.0","913.0","1570.0","59823.0","59823.0","0.0","143.0","0.0","1.0"
"2019-2020","Andhra Pradesh","Chittoor","Thavanampalle","Aragonda Gollapalle","257.0","552.0","0.0","5.0","1.0","2.0","49.0","2.0","206.0","257.0","41.0","61.0","38.0","57.0","25.0","36.0","1272.0","1272.0","0.0","2.0","2.0","0.0"
"2014-2015","Madhya Pradesh","Katni ","Rithi","Keemori","427.0","1168.0","73.0","226.0","0.0","8.0","60.0","187.0","180.0","427.0","134.0","192.0","134.0","192.0","115.0","162.0","1254.0","1254.0","0.0","0.0","0.0","0.0"
