Year (year),Name of the state (state_name),Name of the district (district_name),Name of the block (block_name),Name of the Gram Panchayat (gp_name),Number of registered households (reg_hh),Number of registered persons (reg_pers),Number of deleted job cards for households (del_jobcards_hh),Number of deleted job cards for persons (del_jobcards_pers),Number of included job cards for households (incl_jobcards_hh),Number of included job cards for persons (incl_jobcards_pers),Cumulative job cards issued for Scheduled Castes for households (cumul_hh_jobcards_sc),Cumulative job cards issued for Scheduled Tribes for households (cumul_hh_jobcards_sts),Cumulative job cards issued for other categories for households (cumul_hh_jobcards_others),Total cumulative job cards issued for all categories for households (cumul_hh_jobcards_tot),Number of households demanding employment (emp_demand_hh),Number of persons demanding employment (emp_demand_pers),Number of households offered employment (emp_offer_hh),Number of persons offered employment (emp_offer_pers),Number of households availing employment (emp_avail_hh),Number of persons availing employment (emp_avail_pers),Total person-days of employment availed (emp_avail_tot_persondays),Person-days of employment availed under central liability (emp_avail_central_persondays),Person-days of employment availed under state's liability (emp_avail_states_persondays),Number of households completing 100 days of employment (fam_completed_100_days),Number of households benefiting from land reform or IAY schemes (land_reform_benef_hh),Number of disabled individuals benefiting from the scheme (disabled_benef_indiv)
"2023-2024","Madhya Pradesh","Mandla","Mawai","Basni","399.0","857.0","0.0","17.0","0.0","3.0","0.0","350.0","44.0","394.0","240.0","374.0","240.0","374.0","208.0","306.0","4629.0","4629.0","0.0","0.0","0.0","1.0"
"2020-2021","Rajasthan","Udaipur","Phalasiya","Saoma","1377.0","2970.0","11.0","101.0","105.0","255.0","0.0","1217.0","100.0","1317.0","1042.0","1737.0","1042.0","1737.0","1018.0","1642.0","59464.0","59464.0","0.0","190.0","0.0","3.0"
"2017-2018","Rajasthan","Bikaner","Khajuwala","2 Ke-Dablayu-Ama","871.0","1778.0","8.0","32.0","196.0","406.0","216.0","4.0","633.0","853.0","732.0","1365.0","732.0","1365.0","702.0","1275.0","46921.0","46921.0","0.0","0.0","5.0","1.0"
"2023-2024","Bihar","Muzaffarpur","Kurhani","5/37 Sonwarsa","1760.0","2571.0","0.0","0.0","35.0","60.0","272.0","1.0","1413.0","1686.0","286.0","354.0","285.0","353.0","246.0","298.0","5145.0","5145.0","0.0","0.0","0.0","0.0"
"2023-2024","Telangana","Mahabubnagar","Nawabpet","Ammapur","234.0","451.0","0.0","1.0","0.0","0.0","104.0","0.0","130.0","234.0","84.0","108.0","84.0","108.0","71.0","88.0","2979.0","2979.0","0.0","0.0","0.0","1.0"
"2022-2023","Uttar Pradesh","Bahraich","Kaisarganj","Kudueni","453.0","630.0","2.0","4.0","10.0","27.0","32.0","0.0","380.0","412.0","155.0","215.0","155.0","215.0","124.0","174.0","5592.0","5588.0","4.0","22.0","0.0","0.0"
"2015-2016","Uttar Pradesh","Bijnor","Afzalgarh","Arajikandla","533.0","714.0","2.0","5.0","0.0","1.0","40.0","0.0","489.0","529.0","240.0","290.0","240.0","290.0","228.0","270.0","4266.0","4266.0","0.0","0.0","0.0","0.0"
"2016-2017","Jharkhand","Deoghar","Deoghar","Sarsa","1169.0","2551.0","6.0","42.0","36.0","43.0","162.0","218.0","728.0","1108.0","464.0","589.0","464.0","589.0","423.0","508.0","24240.0","24240.0","0.0","14.0","1.0","0.0"
"2018-2019","Punjab","Ropar","Nurpur Bedi","Jhangrian","15.0","22.0","0.0","0.0","0.0","0.0","0.0","0.0","15.0","15.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2015-2016","Uttar Pradesh","Bulandshahr","Agauta","Agauta","90.0","115.0","9.0","14.0","0.0","0.0","21.0","0.0","69.0","90.0","27.0","29.0","27.0","29.0","6.0","6.0","27.0","27.0","0.0","0.0","0.0","1.0"
"2020-2021","Maharashtra","Beed","Georai","Kolher","505.0","1141.0","1.0","2.0","29.0","36.0","41.0","1.0","409.0","451.0","102.0","193.0","102.0","193.0","92.0","172.0","3108.0","3051.0","57.0","4.0","0.0","0.0"
"2019-2020","Uttar Pradesh","Jaunpur","Sujan Ganj","Sekhnagar","500.0","568.0","0.0","0.0","19.0","19.0","52.0","0.0","434.0","486.0","193.0","214.0","193.0","214.0","186.0","207.0","10267.0","10267.0","0.0","21.0","0.0","0.0"
"2014-2015","Punjab","Patiala","Patran","Dugal Kalan","289.0","410.0","0.0","0.0","0.0","0.0","263.0","0.0","26.0","289.0","41.0","41.0","41.0","41.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2021-2022","Gujarat","Kheda","Kapadvanj","Vejalpur","99.0","315.0","0.0","0.0","3.0","9.0","9.0","1.0","68.0","78.0","15.0","35.0","15.0","35.0","15.0","24.0","345.0","345.0","0.0","0.0","0.0","0.0"
"2019-2020","Uttar Pradesh","Mau","Fatehpur Madaun","Kamal Sagar","427.0","562.0","0.0","3.0","70.0","93.0","121.0","1.0","287.0","409.0","246.0","328.0","246.0","328.0","211.0","280.0","11992.0","11992.0","0.0","22.0","0.0","2.0"
"2015-2016","Tamil Nadu","Kanchipuram","Madurantakam","Munnuthikuppam","513.0","786.0","5.0","18.0","0.0","0.0","409.0","0.0","103.0","512.0","483.0","605.0","483.0","605.0","482.0","603.0","42901.0","42901.0","0.0","151.0","1.0","2.0"
"2022-2023","Andhra Pradesh","Sri Sathya Sai","Dharmavaram","Thummala","412.0","783.0","129.0","360.0","6.0","25.0","30.0","8.0","373.0","411.0","341.0","633.0","341.0","633.0","293.0","495.0","14140.0","14140.0","0.0","29.0","0.0","4.0"
"2014-2015","Andhra Pradesh","Vizianagaram","Parvathipuram","Gochekka","273.0","778.0","6.0","25.0","0.0","0.0","28.0","201.0","44.0","273.0","221.0","467.0","221.0","467.0","195.0","372.0","12018.0","12018.0","0.0","24.0","2.0","0.0"
"2017-2018","Uttarakhand","Pauri Garhwal","Bironkhal","Kota","139.0","165.0","1.0","102.0","0.0","3.0","29.0","0.0","104.0","133.0","75.0","89.0","75.0","89.0","72.0","76.0","2323.0","2323.0","0.0","0.0","0.0","0.0"
"2018-2019","Uttar Pradesh","Gorakhpur","Brahmpur","Tenduwa Khurd","228.0","318.0","0.0","0.0","1.0","3.0","16.0","3.0","207.0","226.0","75.0","94.0","75.0","94.0","68.0","85.0","1805.0","1805.0","0.0","0.0","0.0","0.0"
"2022-2023","Odisha","Dhenkanal","Gondia","Khandabandha","924.0","1687.0","284.0","1368.0","88.0","174.0","235.0","59.0","630.0","924.0","849.0","1427.0","849.0","1426.0","459.0","736.0","22652.0","22652.0","0.0","9.0","0.0","2.0"
"2014-2015","Uttar Pradesh","Siddharth Nagar","Bhanwapur","Pepra Kanungo","283.0","351.0","0.0","0.0","5.0","5.0","70.0","0.0","211.0","281.0","68.0","68.0","68.0","68.0","54.0","54.0","682.0","682.0","0.0","0.0","0.0","0.0"
"2017-2018","Odisha","Puri","Astaranga","Chhuriana","1302.0","5203.0","57.0","243.0","23.0","122.0","320.0","0.0","978.0","1298.0","649.0","1112.0","647.0","1104.0","610.0","993.0","12534.0","12534.0","0.0","0.0","0.0","0.0"
"2019-2020","Uttarakhand","Almora","Bhikiasain","Dahal","114.0","232.0","0.0","0.0","0.0","0.0","8.0","0.0","106.0","114.0","22.0","28.0","22.0","28.0","15.0","15.0","299.0","299.0","0.0","0.0","0.0","0.0"
"2022-2023","Uttar Pradesh","Bareilly","Bhuta","Ahirola","261.0","332.0","12.0","25.0","3.0","6.0","93.0","0.0","168.0","261.0","62.0","70.0","62.0","70.0","52.0","60.0","2131.0","2131.0","0.0","6.0","0.0","0.0"
"2023-2024","Rajasthan","Chittorgarh","Begun","Nanadvai","1110.0","2379.0","46.0","283.0","0.0","6.0","197.0","113.0","784.0","1094.0","563.0","600.0","562.0","598.0","459.0","479.0","16504.0","16504.0","0.0","0.0","0.0","2.0"
"2017-2018","Uttar Pradesh","Sant Kabeer Nagar","Semariyawan","Kohariyawa","327.0","576.0","4.0","15.0","8.0","15.0","100.0","0.0","216.0","316.0","153.0","220.0","153.0","220.0","140.0","195.0","7152.0","7152.0","0.0","7.0","0.0","0.0"
"2016-2017","Tripura","Sepahijala","Jampuijala","Purba Ratanpur","612.0","1277.0","17.0","111.0","19.0","104.0","0.0","601.0","9.0","610.0","594.0","1153.0","594.0","1153.0","589.0","1141.0","58985.0","58985.0","0.0","352.0","116.0","20.0"
"2023-2024","Rajasthan","Banswara","Ghatol","Basadai Khaeda","1427.0","2684.0","4.0","50.0","8.0","35.0","51.0","1186.0","188.0","1425.0","971.0","1163.0","971.0","1163.0","957.0","1141.0","24508.0","24508.0","0.0","1.0","0.0","4.0"
"2014-2015","Chhattisgarh","Dhamtari","Magarlod","Suklabhatha","451.0","1289.0","0.0","0.0","0.0","3.0","39.0","148.0","264.0","451.0","420.0","904.0","420.0","905.0","414.0","850.0","22437.0","22437.0","0.0","11.0","0.0","2.0"
"2017-2018","Uttar Pradesh","Siddharth Nagar","Bhanwapur","Bhita Nankar","167.0","206.0","0.0","0.0","0.0","0.0","7.0","0.0","158.0","165.0","92.0","106.0","92.0","106.0","85.0","99.0","2220.0","2220.0","0.0","0.0","0.0","0.0"
"2021-2022","Puducherry","Pondicherry","Villianur","Kanuvapet","469.0","882.0","0.0","0.0","141.0","292.0","8.0","0.0","461.0","469.0","322.0","331.0","322.0","331.0","263.0","267.0","2664.0","2664.0","0.0","0.0","0.0","3.0"
"2020-2021","Gujarat","Mahisagar","Santrampur","Godhar (West)","365.0","706.0","0.0","0.0","19.0","36.0","5.0","183.0","177.0","365.0","232.0","390.0","232.0","388.0","181.0","297.0","4359.0","4359.0","0.0","0.0","0.0","0.0"
"2016-2017","Chhattisgarh","Jashpur","Manora","Khonga","318.0","1132.0","8.0","133.0","6.0","24.0","13.0","202.0","102.0","317.0","190.0","384.0","190.0","384.0","132.0","213.0","4477.0","4477.0","0.0","8.0","1.0","0.0"
"2020-2021","Nagaland","Mokokchung","Longchem","Lakhuni","395.0","562.0","0.0","0.0","0.0","0.0","0.0","393.0","2.0","395.0","395.0","395.0","395.0","395.0","395.0","395.0","19357.0","19357.0","0.0","0.0","0.0","0.0"
"2023-2024","Tamil Nadu","Ramanathapuram","Mudukulathur","Michealpattnam","264.0","400.0","9.0","34.0","0.0","1.0","5.0","0.0","259.0","264.0","221.0","275.0","221.0","275.0","221.0","273.0","7479.0","7479.0","0.0","0.0","0.0","0.0"
"2018-2019","Uttar Pradesh","Bahraich","Mahasi","Bhagwanpur","155.0","195.0","98.0","114.0","26.0","44.0","37.0","0.0","112.0","149.0","165.0","191.0","165.0","191.0","117.0","134.0","3673.0","3673.0","0.0","0.0","0.0","0.0"
"2016-2017","Tripura","South Tripura","Satchand","Magurchara","455.0","848.0","1.0","94.0","3.0","20.0","10.0","1.0","444.0","455.0","431.0","798.0","431.0","798.0","427.0","775.0","23542.0","23542.0","0.0","1.0","17.0","3.0"
"2022-2023","Uttar Pradesh","Kheri","Nakaha","Deoria Basaiya","441.0","637.0","198.0","277.0","2.0","37.0","72.0","1.0","368.0","441.0","246.0","329.0","246.0","329.0","237.0","311.0","9902.0","9901.0","1.0","16.0","0.0","0.0"
"2020-2021","Maharashtra","Hingoli","Aundha","Kundkar Pimpri","148.0","474.0","0.0","0.0","3.0","5.0","1.0","116.0","28.0","145.0","24.0","50.0","24.0","49.0","17.0","27.0","198.0","198.0","0.0","0.0","0.0","0.0"
"2021-2022","Chhattisgarh","Balod","Gunderdehi","Khapparvada","163.0","312.0","4.0","26.0","4.0","9.0","7.0","0.0","156.0","163.0","124.0","155.0","124.0","155.0","114.0","137.0","3800.0","3800.0","0.0","0.0","0.0","0.0"
"2016-2017","Uttarakhand","Almora","Bhaisiachhana","Nali Talli","73.0","106.0","4.0","14.0","1.0","13.0","0.0","0.0","73.0","73.0","33.0","49.0","33.0","49.0","21.0","28.0","1162.0","1162.0","0.0","4.0","0.0","0.0"
"2018-2019","Madhya Pradesh","Chhindwara","Harai","Navalpur","528.0","948.0","0.0","258.0","11.0","129.0","203.0","260.0","65.0","528.0","369.0","623.0","369.0","623.0","292.0","501.0","15170.0","15170.0","0.0","1.0","0.0","2.0"
"2022-2023","Uttar Pradesh","Gorakhpur","Gola","Gangwal","245.0","272.0","290.0","312.0","0.0","1.0","36.0","0.0","209.0","245.0","121.0","125.0","121.0","125.0","112.0","114.0","4256.0","4256.0","0.0","1.0","0.0","0.0"
"2016-2017","Gujarat","Bharuch","Jambusar","Vahelam","27.0","72.0","1.0","12.0","0.0","0.0","5.0","2.0","20.0","27.0","3.0","11.0","3.0","11.0","2.0","2.0","8.0","8.0","0.0","0.0","0.0","0.0"
"2017-2018","Chhattisgarh","Mungeli","Lormi","Khaparidih","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2020-2021","Punjab","Hoshiarpur","Tanda","Randian","57.0","103.0","0.0","0.0","3.0","5.0","43.0","0.0","14.0","57.0","31.0","36.0","31.0","36.0","29.0","33.0","1258.0","1258.0","0.0","2.0","0.0","0.0"
"2014-2015","Tamil Nadu","Kanchipuram","Acharapakkam","Kadamalaiputhur","336.0","436.0","1.0","10.0","0.0","0.0","84.0","0.0","251.0","335.0","310.0","345.0","310.0","345.0","309.0","338.0","28128.0","28128.0","0.0","175.0","0.0","1.0"
"2015-2016","Uttar Pradesh","Prayagraj","Dhanupur","Keshavraypur","168.0","265.0","2.0","2.0","25.0","30.0","32.0","0.0","128.0","160.0","59.0","67.0","59.0","67.0","54.0","58.0","2257.0","2257.0","0.0","1.0","0.0","0.0"
"2023-2024","Telangana","Kamareddy","Pedda Kodapghal","Shivani Thanda","128.0","219.0","0.0","1.0","0.0","5.0","1.0","15.0","112.0","128.0","118.0","197.0","118.0","197.0","116.0","193.0","2401.0","2401.0","0.0","0.0","0.0","4.0"
"2018-2019","Karnataka","Shivamogga","Bhadravati","Yarehalli","955.0","1613.0","5.0","12.0","15.0","25.0","116.0","12.0","827.0","955.0","416.0","634.0","415.0","620.0","405.0","600.0","12267.0","12267.0","0.0","2.0","0.0","0.0"
"2023-2024","Uttar Pradesh","Prayagraj","Shankargarh","Laund Khurd","338.0","619.0","7.0","13.0","0.0","0.0","132.0","0.0","194.0","326.0","12.0","12.0","12.0","12.0","11.0","11.0","191.0","191.0","0.0","0.0","0.0","0.0"
"2022-2023","Uttar Pradesh","Muzaffarnagar","Budhana","Bhasana","143.0","187.0","16.0","17.0","11.0","12.0","30.0","0.0","105.0","135.0","39.0","41.0","39.0","41.0","33.0","35.0","1048.0","1048.0","0.0","0.0","0.0","0.0"
"2023-2024","Jammu And Kashmir","Badgam","Badgam","Qazibagh","495.0","520.0","1.0","1.0","1.0","1.0","0.0","0.0","427.0","427.0","106.0","108.0","106.0","108.0","84.0","84.0","1792.0","1792.0","0.0","0.0","0.0","0.0"
"2020-2021","Meghalaya","Ri Bhoi  ","Umling","Umjarasi","171.0","214.0","0.0","41.0","0.0","3.0","0.0","165.0","6.0","171.0","72.0","72.0","72.0","72.0","72.0","72.0","1020.0","1020.0","0.0","0.0","0.0","0.0"
"2017-2018","Odisha","Kalahandi","Madanpur    Rampur","Saidolanga","791.0","1771.0","91.0","267.0","82.0","163.0","121.0","97.0","573.0","791.0","501.0","917.0","501.0","917.0","437.0","722.0","12330.0","12330.0","0.0","6.0","12.0","1.0"
"2018-2019","Jharkhand","Godda","Poraiyahat","Nawdiha","942.0","1969.0","2.0","6.0","63.0","91.0","27.0","287.0","568.0","882.0","217.0","314.0","217.0","314.0","193.0","252.0","9617.0","9617.0","0.0","0.0","0.0","0.0"
"2021-2022","Maharashtra","Nandurbar","Akrani","Kakdada","2175.0","5775.0","3.0","37.0","489.0","787.0","1.0","1639.0","13.0","1653.0","702.0","1334.0","698.0","1325.0","640.0","1175.0","34259.0","34259.0","0.0","108.0","0.0","0.0"
"2017-2018","Andhra Pradesh","Srikakulam","Jalumuru","Akkurada","629.0","1359.0","4.0","24.0","16.0","19.0","124.0","0.0","505.0","629.0","457.0","842.0","457.0","842.0","367.0","554.0","22320.0","22320.0","0.0","22.0","0.0","13.0"
"2014-2015","Odisha","Puri","Satyabadi","Raikhandi","758.0","2837.0","0.0","25.0","22.0","60.0","118.0","0.0","640.0","758.0","87.0","156.0","87.0","156.0","66.0","114.0","959.0","959.0","0.0","0.0","0.0","0.0"
"2021-2022","Karnataka","Koppal","Gangavathi","Kesarahatti","2445.0","6441.0","2.0","520.0","170.0","738.0","236.0","344.0","1865.0","2445.0","2224.0","5783.0","2224.0","5781.0","2185.0","5457.0","152095.0","152095.0","0.0","218.0","0.0","18.0"
"2015-2016","Manipur","Ukhrul","Ukhrul","Shangshak Khullen","303.0","602.0","4.0","8.0","1.0","1.0","7.0","287.0","6.0","300.0","234.0","234.0","234.0","234.0","234.0","234.0","4212.0","4212.0","0.0","0.0","0.0","1.0"
"2023-2024","Uttarakhand","Almora","Takula","Mallakholi","70.0","120.0","0.0","0.0","0.0","0.0","28.0","0.0","42.0","70.0","9.0","13.0","8.0","9.0","2.0","2.0","24.0","24.0","0.0","0.0","0.0","0.0"
"2018-2019","Telangana","Mahbubnagar","Gandeed","Vennached","1157.0","2357.0","0.0","12.0","1.0","2.0","399.0","2.0","756.0","1157.0","291.0","468.0","290.0","467.0","205.0","284.0","4188.0","4188.0","0.0","1.0","32.0","0.0"
"2014-2015","Bihar","Jamui","Chakai","Ramsinghdih","1131.0","2053.0","3.0","8.0","3.0","8.0","153.0","248.0","726.0","1127.0","159.0","204.0","159.0","204.0","149.0","192.0","3404.0","3404.0","0.0","0.0","0.0","1.0"
"2020-2021","Ladakh","Leh (Ladakh)","Thiksay","Rambirpur","156.0","333.0","0.0","52.0","2.0","4.0","0.0","153.0","0.0","153.0","125.0","146.0","125.0","146.0","124.0","145.0","10551.0","10551.0","0.0","33.0","0.0","0.0"
"2019-2020","Uttar Pradesh","Sambhal","Junawai","Sultangarh","431.0","440.0","0.0","0.0","6.0","6.0","0.0","0.0","405.0","405.0","86.0","86.0","86.0","86.0","75.0","75.0","4025.0","4025.0","0.0","7.0","0.0","0.0"
"2016-2017","Bihar","Nawada","Akbarpur","Kulana Panchayat","3721.0","4572.0","7.0","8.0","135.0","165.0","1148.0","14.0","2377.0","3539.0","1078.0","1089.0","1078.0","1089.0","762.0","764.0","18953.0","18953.0","0.0","0.0","20.0","0.0"
"2016-2017","Gujarat","Gandhinagar","Dehgam                                            ","Vatva","231.0","463.0","1.0","2.0","88.0","96.0","27.0","0.0","203.0","230.0","114.0","129.0","114.0","129.0","106.0","119.0","4834.0","4834.0","0.0","2.0","0.0","0.0"
"2023-2024","Tamil Nadu","Thoothukkudi","Kayathar","Asoor","259.0","363.0","0.0","0.0","7.0","8.0","11.0","0.0","248.0","259.0","225.0","231.0","225.0","231.0","220.0","224.0","7434.0","7434.0","0.0","0.0","0.0","2.0"
"2018-2019","Gujarat","Mahesana","Jotana","Jotana","122.0","249.0","0.0","0.0","28.0","44.0","18.0","0.0","99.0","117.0","59.0","82.0","59.0","82.0","57.0","80.0","2642.0","2642.0","0.0","1.0","0.0","0.0"
"2023-2024","Maharashtra","Beed","Manjlegaon","Manurwadi","371.0","714.0","0.0","0.0","6.0","9.0","10.0","0.0","254.0","264.0","5.0","8.0","5.0","8.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2023-2024","Gujarat","Amreli","Lathi                                             ","Virpur","231.0","691.0","0.0","0.0","0.0","3.0","41.0","1.0","181.0","223.0","71.0","191.0","71.0","191.0","64.0","171.0","1065.0","1065.0","0.0","0.0","0.0","0.0"
"2023-2024","Madhya Pradesh","Sidhi","Kusmi","Dadari","521.0","887.0","39.0","80.0","11.0","16.0","16.0","383.0","108.0","507.0","233.0","343.0","228.0","330.0","195.0","279.0","3924.0","3924.0","0.0","0.0","0.0","1.0"
"2023-2024","Maharashtra","Jalgaon","Chalisgaon","Ozar","973.0","2102.0","0.0","0.0","0.0","4.0","42.0","44.0","459.0","545.0","39.0","71.0","39.0","71.0","35.0","63.0","995.0","995.0","0.0","0.0","0.0","0.0"
"2018-2019","Madhya Pradesh","Narmadapuram","Kesla","Semarikhurd","146.0","229.0","0.0","0.0","25.0","27.0","15.0","6.0","121.0","142.0","60.0","76.0","60.0","76.0","29.0","37.0","1112.0","1112.0","0.0","1.0","0.0","1.0"
"2022-2023","Maharashtra","Nanded","Hadgaon","Kondhur","567.0","1157.0","0.0","0.0","4.0","7.0","54.0","167.0","343.0","564.0","38.0","65.0","38.0","65.0","35.0","58.0","1475.0","1423.0","52.0","2.0","0.0","0.0"
"2014-2015","Uttar Pradesh","Hamirpur","Muskara","Enjhi","340.0","645.0","0.0","0.0","5.0","8.0","132.0","0.0","197.0","329.0","124.0","204.0","124.0","204.0","111.0","181.0","5979.0","5979.0","0.0","5.0","0.0","0.0"
"2017-2018","Madhya Pradesh","Rewa","Sirmour","Badi Harai","123.0","175.0","1.0","5.0","64.0","65.0","25.0","7.0","36.0","68.0","61.0","101.0","61.0","101.0","59.0","95.0","1804.0","1804.0","0.0","0.0","0.0","0.0"
"2021-2022","Odisha","Kandhamal","Phiringia","Koirmandu","574.0","1604.0","42.0","194.0","22.0","87.0","101.0","434.0","38.0","573.0","520.0","1122.0","520.0","1122.0","470.0","885.0","35947.0","35947.0","0.0","158.0","0.0","45.0"
"2020-2021","Maharashtra","Jalgaon","Dharangaon","Vanjari Bk","235.0","481.0","0.0","0.0","26.0","55.0","22.0","39.0","132.0","193.0","20.0","33.0","20.0","33.0","19.0","31.0","450.0","450.0","0.0","0.0","0.0","0.0"
"2022-2023","Uttar Pradesh","Bulandshahr","Bulandshahr","Chirchita","25.0","37.0","70.0","105.0","6.0","9.0","16.0","0.0","9.0","25.0","13.0","16.0","13.0","16.0","5.0","6.0","121.0","121.0","0.0","0.0","0.0","0.0"
"2017-2018","Tamil Nadu","Virudhunagar","Virudhunagar","Chettudayanpatti","244.0","361.0","1.0","35.0","0.0","7.0","235.0","0.0","9.0","244.0","186.0","211.0","186.0","211.0","184.0","206.0","7073.0","7073.0","0.0","4.0","0.0","1.0"
"2019-2020","Uttar Pradesh","Rampur","Milak","Aichora","263.0","370.0","1.0","3.0","22.0","44.0","114.0","0.0","144.0","258.0","97.0","131.0","97.0","131.0","90.0","120.0","4212.0","4212.0","0.0","5.0","0.0","0.0"
"2020-2021","Meghalaya","West Garo Hills","Gambegre","Dadokgre","24.0","58.0","1.0","1.0","0.0","0.0","0.0","24.0","0.0","24.0","24.0","47.0","24.0","47.0","24.0","47.0","2400.0","2400.0","0.0","24.0","0.0","1.0"
"2023-2024","Meghalaya","North Garo Hills","Kharkutta","Kentra","43.0","110.0","0.0","35.0","0.0","11.0","0.0","43.0","0.0","43.0","41.0","41.0","41.0","41.0","1.0","1.0","28.0","28.0","0.0","0.0","0.0","0.0"
"2016-2017","Madhya Pradesh","Mandsaur","Malhargarh","Khunti","329.0","851.0","32.0","127.0","9.0","21.0","86.0","27.0","216.0","329.0","205.0","410.0","205.0","410.0","184.0","344.0","7098.0","7098.0","0.0","8.0","0.0","1.0"
"2016-2017","Uttar Pradesh","Barabanki","Puredalai","Ajayi Mau","431.0","610.0","23.0","37.0","2.0","2.0","187.0","0.0","243.0","430.0","214.0","252.0","214.0","252.0","192.0","224.0","9313.0","9313.0","0.0","0.0","2.0","0.0"
"2022-2023","Telangana","Adilabad","Utnur","Lakkaram","1735.0","3378.0","29.0","121.0","10.0","27.0","568.0","650.0","517.0","1735.0","674.0","1257.0","674.0","1257.0","523.0","915.0","19720.0","19720.0","0.0","3.0","0.0","0.0"
"2019-2020","Nagaland","Dimapur","Dhansiripar","Shitovi","240.0","367.0","0.0","2.0","0.0","108.0","0.0","239.0","1.0","240.0","240.0","240.0","240.0","240.0","240.0","240.0","8852.0","8852.0","0.0","0.0","0.0","0.0"
"2016-2017","Gujarat","Banas Kantha","Deodar","Ravel Nava","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2023-2024","Maharashtra","Ahmednagar","Sangamner","Sangamner Kh.","565.0","1419.0","0.0","0.0","1.0","7.0","21.0","1.0","365.0","387.0","12.0","16.0","12.0","16.0","12.0","16.0","753.0","753.0","0.0","0.0","0.0","0.0"
"2023-2024","Uttar Pradesh","Siddharth Nagar","Bansi","Saraw","260.0","307.0","3.0","5.0","6.0","12.0","35.0","0.0","222.0","257.0","73.0","82.0","73.0","82.0","73.0","82.0","2844.0","2844.0","0.0","0.0","0.0","0.0"
"2020-2021","Maharashtra","Nanded","Kandhar","Bhendewadi","114.0","339.0","0.0","0.0","0.0","0.0","0.0","0.0","114.0","114.0","34.0","61.0","34.0","61.0","34.0","61.0","1446.0","1444.0","2.0","1.0","0.0","0.0"
"2022-2023","Maharashtra","Nashik","Igatpuri","Barshingave","654.0","1422.0","4.0","12.0","69.0","134.0","9.0","257.0","388.0","654.0","146.0","250.0","146.0","250.0","129.0","220.0","2995.0","2993.0","2.0","1.0","0.0","2.0"
"2016-2017","Uttarakhand","Pauri Garhwal","Kaljikhal","Dang","54.0","106.0","0.0","13.0","1.0","6.0","7.0","0.0","47.0","54.0","51.0","61.0","51.0","61.0","51.0","60.0","1135.0","1135.0","0.0","0.0","0.0","0.0"
"2015-2016","Punjab","Kapurthala","Sultanpur Lodhi","Khokar Jadid Kadim","39.0","59.0","0.0","0.0","0.0","0.0","12.0","0.0","26.0","38.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016-2017","Madhya Pradesh","Betul","Multai","Sarra","172.0","590.0","1.0","9.0","0.0","0.0","17.0","10.0","145.0","172.0","145.0","243.0","145.0","243.0","42.0","63.0","706.0","706.0","0.0","0.0","0.0","0.0"
"2023-2024","Maharashtra","Latur","Jalkot","Patoda (Bk)","825.0","1708.0","0.0","0.0","7.0","41.0","151.0","6.0","666.0","823.0","137.0","260.0","136.0","259.0","120.0","223.0","2975.0","2975.0","0.0","0.0","0.0","0.0"
"2021-2022","Uttar Pradesh","Azamgarh","Jahanaganj","Kutubpur","243.0","257.0","0.0","0.0","10.0","10.0","0.0","0.0","228.0","228.0","91.0","91.0","91.0","91.0","69.0","69.0","1090.0","1090.0","0.0","0.0","0.0","0.0"
"2021-2022","Bihar","Munger","Sangrampur","Badhoniya","2136.0","3282.0","6.0","7.0","82.0","138.0","330.0","4.0","1802.0","2136.0","578.0","708.0","578.0","706.0","495.0","573.0","23007.0","23007.0","0.0","1.0","0.0","0.0"
"2020-2021","Meghalaya","South Garo Hills","Gasuapara","Namchapara","166.0","367.0","0.0","1.0","2.0","6.0","1.0","163.0","2.0","166.0","150.0","151.0","150.0","151.0","150.0","151.0","13799.0","13799.0","0.0","68.0","0.0","0.0"
"2017-2018","Chhattisgarh","Raipur","Arang","Chicha","258.0","649.0","0.0","1.0","1.0","24.0","211.0","1.0","44.0","256.0","136.0","275.0","136.0","275.0","126.0","233.0","7032.0","7032.0","0.0","13.0","1.0","5.0"
"2023-2024","Madhya Pradesh","Agar-Malwa","Badod","Dabdiya","476.0","917.0","0.0","0.0","2.0","8.0","88.0","2.0","386.0","476.0","91.0","151.0","91.0","151.0","86.0","140.0","3930.0","3930.0","0.0","0.0","0.0","0.0"
"2023-2024","Punjab","Ludhiana","Sudhar","Dhat","180.0","217.0","7.0","11.0","5.0","7.0","158.0","0.0","17.0","175.0","79.0","81.0","79.0","81.0","72.0","72.0","2151.0","2151.0","0.0","0.0","0.0","0.0"
